	dlow	dhigh	spellName	spellClass	spellLevel
	9999	9999	Acid Arrow	sorcerer_wizard2, magus2
	9999	9999	Acid Fog	sorcerer_wizard6, magus6
	9999	9999	Acid Splash	sorcerer_wizard0, summoner0, inquisitor0, magus0
	9999	9999	Aid	cleric2_oracle2, inquisitor2, alchemist2
	9999	9999	Air Walk	cleric4_oracle4, druid4, alchemist4
	9999	9999	Align Weapon	cleric2_oracle2, inquisitor2
	9999	9999	Alter Self	bard2, sorcerer_wizard2, witch2, summoner2, alchemist2, magus2
	9999	9999	Alarm	bard1, ranger1, sorcerer_wizard1, summoner1, inquisitor1
	9999	9999	Analyze Dweomer	bard6, sorcerer_wizard6, witch6, alchemist6
	9999	9999	Animal Growth	druid5, ranger4, sorcerer_wizard5
	9999	9999	Animal Messenger	bard2, druid2, ranger1
	9999	9999	Animal Shapes	druid8
	9999	9999	Animal Trance	bard2, druid2
	9999	9999	Animate Dead	cleric_oracle3, sorcerer_wizard4, antipaladin3
	9999	9999	Animate Objects	bard6, cleric_oracle6, witch6
	9999	9999	Animate Plants	druid7
	9999	9999	Animate Rope	bard1, sorcerer_wizard1
	9999	9999	Antilife Shell	cleric6_oracle6, druid6
	9999	9999	Antimagic Field	cleric_oracle8, sorcerer_wizard6
	9999	9999	Antipathy	druid9, sorcerer_wizard8, witch8, summoner6
	9999	9999	Antiplant Shell	druid4
	9999	9999	Arcane Eye	sorcerer_wizard4, witch4, alchemist4
	9999	9999	Arcane Lock	sorcerer_wizard2
	9999	9999	Arcane Mark	sorcerer_wizard0, summoner0, magus0
	9999	9999	Arcane Sight	sorcerer_wizard3, witch3, inquisitor3, alchemist3, magus3
	9999	9999	Arcane Sight, Greater	sorcerer_wizard7, witch7
	9999	9999	Astral Projection	cleric9_oracle9, sorcerer_wizard9, witch9
	9999	9999	Atonement	cleric5_oracle5, druid5, inquisitor5
	9999	9999	Augury	cleric2_oracle2, witch2
	9999	9999	Awaken	druid5
	9999	9999	Bane	antipaladin1, cleric_oracle1, inquisitor1
