	dlow	dhigh	itemType	valueAdjust
	1	1	Adaptive	1000
	2	2	Impervious	3000
	3	3	Glamered	4000
	4	6	Allying	2000
	7	15	Bane	2000
	16	16	Called	2000
	17	19	Conductive	2000
	20	20	Conserving	2000
	21	24	Corrosive	2000
	25	25	Cruel	2000
	26	28	Cunning	2000
	29	36	Distance	2000
	37	45	Flaming	2000
	46	54	Frost	2000
	55	58	Huntsman	2000
	59	62	Jurist	2000
	63	63	Limning	2000
	64	64	Lucky	2000
	65	66	Merciful	2000
	67	67	Planar	2000
	68	68	Reliable	2000
	69	76	Returning	2000
	77	84	Seeking	2000
	85	92	Shock	2000
	93	100	Thundering	2000
