	dlow	dhigh	itemType	valueAdjust
	1	1	Impervious	3000
	2	2	Glamered	4000
	3	3	Allying	2000
	4	8	Bane	2000
	9	9	Benevolent	2000
	10	10	Called	2000
	11	12	Conductive	2000
	13	16	Corrosive	2000
	17	17	Countering	2000
	18	18	Courageous	2000
	19	19	Cruel	2000
	20	21	Cunning	2000
	22	22	Deadly	2000
	23	26	Defending	2000
	27	27	Dispelling	2000
	28	33	Flaming	2000
	34	39	Frost	2000
	40	41	Furious	2000
	42	45	Ghost Touch	2000
	46	47	Grayflame	2000
	48	48	Grounding	2000
	49	49	Guardian	2000
	50	50	Heartseeker	2000
	51	52	Huntsman	2000
	53	54	Jurist	2000
	55	59	Keen	2000
	60	61	Ki Focus	2000
	62	62	Limning	2000
	63	64	Menacing	2000
	65	65	Merciful	2000
	66	68	Mighty Cleaving	2000
	69	69	Mimetic	2000
	70	70	Neutralizing	2000
	71	71	Ominous	2000
	72	72	Planar	2000
	73	73	Quenching	2000
	74	74	Seaborne	2000
	75	80	Shock	2000
	81	85	Spell Storing	2000
	86	86	Thawing	2000
	87	91	Throwing	2000
	92	96	Thundering	2000
	97	97	Valiant	2000
	98	100	Vicious	2000
